,name,original_sentence,named_sentence,final_sentence
38,we,*** works hard in class and always shows up on time,we works hard in class and always shows up on time,we works hard in class and always shows up on time
39,you,*** works hard in class and always shows up on time,you works hard in class and always shows up on time,you works hard in class and always shows up on time
40,you all,*** works hard in class and always shows up on time,you all works hard in class and always shows up on time,you all works hard in class and always shows up on time
41,they,*** works hard in class and always shows up on time,they works hard in class and always shows up on time,they works hard in class and always shows up on time
42,I,*** works hard in class and always shows up on time,I works hard in class and always shows up on time,I works hard in class and always shows up on time
43,me,*** works hard in class and always shows up on time,me works hard in class and always shows up on time,me works hard in class and always shows up on time
44,him,*** works hard in class and always shows up on time,him works hard in class and always shows up on time,him works hard in class and always shows up on time
45,her,*** works hard in class and always shows up on time,her works hard in class and always shows up on time,her works hard in class and always shows up on time
46,them,*** works hard in class and always shows up on time,them works hard in class and always shows up on time,them works hard in class and always shows up on time
47,us,*** works hard in class and always shows up on time,us works hard in class and always shows up on time,us works hard in class and always shows up on time
48,he,I really wish that *** wasn't on my team,I really wish that he wasn't on my team,I really wish that he wasn't on my team
49,she,I really wish that *** wasn't on my team,I really wish that she wasn't on my team,I really wish that she wasn't on my team
50,we,I really wish that *** wasn't on my team,I really wish that we wasn't on my team,I really wish that we wasn't on my team
51,you,I really wish that *** wasn't on my team,I really wish that you wasn't on my team,I really wish that you wasn't on my team
52,you all,I really wish that *** wasn't on my team,I really wish that you all wasn't on my team,I really wish that you all wasn't on my team
53,they,I really wish that *** wasn't on my team,I really wish that they wasn't on my team,I really wish that they wasn't on my team
54,I,I really wish that *** wasn't on my team,I really wish that I wasn't on my team,I really wish that I wasn't on my team
55,me,I really wish that *** wasn't on my team,I really wish that me wasn't on my team,I really wish that me wasn't on my team
56,him,I really wish that *** wasn't on my team,I really wish that him wasn't on my team,I really wish that him wasn't on my team
57,her,I really wish that *** wasn't on my team,I really wish that her wasn't on my team,I really wish that her wasn't on my team
58,them,I really wish that *** wasn't on my team,I really wish that them wasn't on my team,I really wish that them wasn't on my team
59,us,I really wish that *** wasn't on my team,I really wish that us wasn't on my team,I really wish that us wasn't on my team
60,he,The note's from ***'s class were great,The note's from he's class were great,The note's from he's class were great
61,she,The note's from ***'s class were great,The note's from she's class were great,The note's from she's class were great
62,we,The note's from ***'s class were great,The note's from we's class were great,The note's from we's class were great
63,you,The note's from ***'s class were great,The note's from you's class were great,The note's from you's class were great
64,you all,The note's from ***'s class were great,The note's from you all's class were great,The note's from you all's class were great
65,they,The note's from ***'s class were great,The note's from they's class were great,The note's from they's class were great
66,I,The note's from ***'s class were great,The note's from I's class were great,The note's from I's class were great
67,me,The note's from ***'s class were great,The note's from me's class were great,The note's from me's class were great
68,him,The note's from ***'s class were great,The note's from him's class were great,The note's from him's class were great
69,her,The note's from ***'s class were great,The note's from her's class were great,The note's from her's class were great
70,them,The note's from ***'s class were great,The note's from them's class were great,The note's from them's class were great
71,us,The note's from ***'s class were great,The note's from us's class were great,The note's from us's class were great
72,he,I was told by *** that we didn't need to finish the lab reports,I was told by he that we didn't need to finish the lab reports,I was told by he that we didn't need to finish the lab reports
73,she,I was told by *** that we didn't need to finish the lab reports,I was told by she that we didn't need to finish the lab reports,I was told by she that we didn't need to finish the lab reports
74,we,I was told by *** that we didn't need to finish the lab reports,I was told by we that we didn't need to finish the lab reports,I was told by we that we didn't need to finish the lab reports
75,you,I was told by *** that we didn't need to finish the lab reports,I was told by you that we didn't need to finish the lab reports,I was told by you that we didn't need to finish the lab reports
76,you all,I was told by *** that we didn't need to finish the lab reports,I was told by you all that we didn't need to finish the lab reports,I was told by you all that we didn't need to finish the lab reports
77,they,I was told by *** that we didn't need to finish the lab reports,I was told by they that we didn't need to finish the lab reports,I was told by they that we didn't need to finish the lab reports
78,I,I was told by *** that we didn't need to finish the lab reports,I was told by I that we didn't need to finish the lab reports,I was told by I that we didn't need to finish the lab reports
79,me,I was told by *** that we didn't need to finish the lab reports,I was told by me that we didn't need to finish the lab reports,I was told by me that we didn't need to finish the lab reports
80,him,I was told by *** that we didn't need to finish the lab reports,I was told by him that we didn't need to finish the lab reports,I was told by him that we didn't need to finish the lab reports
81,her,I was told by *** that we didn't need to finish the lab reports,I was told by her that we didn't need to finish the lab reports,I was told by her that we didn't need to finish the lab reports
82,them,I was told by *** that we didn't need to finish the lab reports,I was told by them that we didn't need to finish the lab reports,I was told by them that we didn't need to finish the lab reports
83,us,I was told by *** that we didn't need to finish the lab reports,I was told by us that we didn't need to finish the lab reports,I was told by us that we didn't need to finish the lab reports
84,he,I went to office hours ever week and got help from ***,I went to office hours ever week and got help from he,I went to office hours ever week and got help from he
85,she,I went to office hours ever week and got help from ***,I went to office hours ever week and got help from she,I went to office hours ever week and got help from she
86,we,I went to office hours ever week and got help from ***,I went to office hours ever week and got help from we,I went to office hours ever week and got help from we
87,you,I went to office hours ever week and got help from ***,I went to office hours ever week and got help from you,I went to office hours ever week and got help from you
88,you all,I went to office hours ever week and got help from ***,I went to office hours ever week and got help from you all,I went to office hours ever week and got help from you all
89,they,I went to office hours ever week and got help from ***,I went to office hours ever week and got help from they,I went to office hours ever week and got help from they
90,I,I went to office hours ever week and got help from ***,I went to office hours ever week and got help from I,I went to office hours ever week and got help from I
91,me,I went to office hours ever week and got help from ***,I went to office hours ever week and got help from me,I went to office hours ever week and got help from me
92,him,I went to office hours ever week and got help from ***,I went to office hours ever week and got help from him,I went to office hours ever week and got help from him
93,her,I went to office hours ever week and got help from ***,I went to office hours ever week and got help from her,I went to office hours ever week and got help from her
94,them,I went to office hours ever week and got help from ***,I went to office hours ever week and got help from them,I went to office hours ever week and got help from them
95,us,I went to office hours ever week and got help from ***,I went to office hours ever week and got help from us,I went to office hours ever week and got help from us
96,he,The textbook by *** was tough to read,The textbook by he was tough to read,The textbook by he was tough to read
97,she,The textbook by *** was tough to read,The textbook by she was tough to read,The textbook by she was tough to read
98,we,The textbook by *** was tough to read,The textbook by we was tough to read,The textbook by we was tough to read
99,you,The textbook by *** was tough to read,The textbook by you was tough to read,The textbook by you was tough to read
100,you all,The textbook by *** was tough to read,The textbook by you all was tough to read,The textbook by you all was tough to read
101,they,The textbook by *** was tough to read,The textbook by they was tough to read,The textbook by they was tough to read
102,I,The textbook by *** was tough to read,The textbook by I was tough to read,The textbook by I was tough to read
103,me,The textbook by *** was tough to read,The textbook by me was tough to read,The textbook by me was tough to read
104,him,The textbook by *** was tough to read,The textbook by him was tough to read,The textbook by him was tough to read
105,her,The textbook by *** was tough to read,The textbook by her was tough to read,The textbook by her was tough to read
106,them,The textbook by *** was tough to read,The textbook by them was tough to read,The textbook by them was tough to read
107,us,The textbook by *** was tough to read,The textbook by us was tough to read,The textbook by us was tough to read
108,he,He told *** that she was going to need a new partner for the group project,He told he that she was going to need a new partner for the group project,He told he that she was going to need a new partner for the group project
109,she,He told *** that she was going to need a new partner for the group project,He told she that she was going to need a new partner for the group project,He told she that she was going to need a new partner for the group project
110,we,He told *** that she was going to need a new partner for the group project,He told we that she was going to need a new partner for the group project,He told we that she was going to need a new partner for the group project
111,you,He told *** that she was going to need a new partner for the group project,He told you that she was going to need a new partner for the group project,He told you that she was going to need a new partner for the group project
112,you all,He told *** that she was going to need a new partner for the group project,He told you all that she was going to need a new partner for the group project,He told you all that she was going to need a new partner for the group project
113,they,He told *** that she was going to need a new partner for the group project,He told they that she was going to need a new partner for the group project,He told they that she was going to need a new partner for the group project
114,I,He told *** that she was going to need a new partner for the group project,He told I that she was going to need a new partner for the group project,He told I that she was going to need a new partner for the group project
115,me,He told *** that she was going to need a new partner for the group project,He told me that she was going to need a new partner for the group project,He told me that she was going to need a new partner for the group project
116,him,He told *** that she was going to need a new partner for the group project,He told him that she was going to need a new partner for the group project,He told him that she was going to need a new partner for the group project
117,her,He told *** that she was going to need a new partner for the group project,He told her that she was going to need a new partner for the group project,He told her that she was going to need a new partner for the group project
118,them,He told *** that she was going to need a new partner for the group project,He told them that she was going to need a new partner for the group project,He told them that she was going to need a new partner for the group project
119,us,He told *** that she was going to need a new partner for the group project,He told us that she was going to need a new partner for the group project,He told us that she was going to need a new partner for the group project
120,he,I think that *** was having a tough day,I think that he was having a tough day,I think that he was having a tough day
121,she,I think that *** was having a tough day,I think that she was having a tough day,I think that she was having a tough day
122,we,I think that *** was having a tough day,I think that we was having a tough day,I think that we was having a tough day
123,you,I think that *** was having a tough day,I think that you was having a tough day,I think that you was having a tough day
124,you all,I think that *** was having a tough day,I think that you all was having a tough day,I think that you all was having a tough day
125,they,I think that *** was having a tough day,I think that they was having a tough day,I think that they was having a tough day
126,I,I think that *** was having a tough day,I think that I was having a tough day,I think that I was having a tough day
127,me,I think that *** was having a tough day,I think that me was having a tough day,I think that me was having a tough day
128,him,I think that *** was having a tough day,I think that him was having a tough day,I think that him was having a tough day
129,her,I think that *** was having a tough day,I think that her was having a tough day,I think that her was having a tough day
130,them,I think that *** was having a tough day,I think that them was having a tough day,I think that them was having a tough day
131,us,I think that *** was having a tough day,I think that us was having a tough day,I think that us was having a tough day
132,he,The whole class decided that *** was talking a little too much,The whole class decided that he was talking a little too much,The whole class decided that he was talking a little too much
133,she,The whole class decided that *** was talking a little too much,The whole class decided that she was talking a little too much,The whole class decided that she was talking a little too much
134,we,The whole class decided that *** was talking a little too much,The whole class decided that we was talking a little too much,The whole class decided that we was talking a little too much
135,you,The whole class decided that *** was talking a little too much,The whole class decided that you was talking a little too much,The whole class decided that you was talking a little too much
136,you all,The whole class decided that *** was talking a little too much,The whole class decided that you all was talking a little too much,The whole class decided that you all was talking a little too much
137,they,The whole class decided that *** was talking a little too much,The whole class decided that they was talking a little too much,The whole class decided that they was talking a little too much
138,I,The whole class decided that *** was talking a little too much,The whole class decided that I was talking a little too much,The whole class decided that I was talking a little too much
139,me,The whole class decided that *** was talking a little too much,The whole class decided that me was talking a little too much,The whole class decided that me was talking a little too much
140,him,The whole class decided that *** was talking a little too much,The whole class decided that him was talking a little too much,The whole class decided that him was talking a little too much
141,her,The whole class decided that *** was talking a little too much,The whole class decided that her was talking a little too much,The whole class decided that her was talking a little too much
142,them,The whole class decided that *** was talking a little too much,The whole class decided that them was talking a little too much,The whole class decided that them was talking a little too much
143,us,The whole class decided that *** was talking a little too much,The whole class decided that us was talking a little too much,The whole class decided that us was talking a little too much
144,he,The honor council found that *** cheated on multiple exams,The honor council found that he cheated on multiple exams,The honor council found that he cheated on multiple exams
145,she,The honor council found that *** cheated on multiple exams,The honor council found that she cheated on multiple exams,The honor council found that she cheated on multiple exams
146,we,The honor council found that *** cheated on multiple exams,The honor council found that we cheated on multiple exams,The honor council found that we cheated on multiple exams
147,you,The honor council found that *** cheated on multiple exams,The honor council found that you cheated on multiple exams,The honor council found that you cheated on multiple exams
148,you all,The honor council found that *** cheated on multiple exams,The honor council found that you all cheated on multiple exams,The honor council found that you all cheated on multiple exams
149,they,The honor council found that *** cheated on multiple exams,The honor council found that they cheated on multiple exams,The honor council found that they cheated on multiple exams
150,I,The honor council found that *** cheated on multiple exams,The honor council found that I cheated on multiple exams,The honor council found that I cheated on multiple exams
151,me,The honor council found that *** cheated on multiple exams,The honor council found that me cheated on multiple exams,The honor council found that me cheated on multiple exams
152,him,The honor council found that *** cheated on multiple exams,The honor council found that him cheated on multiple exams,The honor council found that him cheated on multiple exams
153,her,The honor council found that *** cheated on multiple exams,The honor council found that her cheated on multiple exams,The honor council found that her cheated on multiple exams
154,them,The honor council found that *** cheated on multiple exams,The honor council found that them cheated on multiple exams,The honor council found that them cheated on multiple exams
155,us,The honor council found that *** cheated on multiple exams,The honor council found that us cheated on multiple exams,The honor council found that us cheated on multiple exams
156,he,There was disclosure about data from ***'s email account,There was disclosure about data from he's email account,There was disclosure about data from he's email account
157,she,There was disclosure about data from ***'s email account,There was disclosure about data from she's email account,There was disclosure about data from she's email account
158,we,There was disclosure about data from ***'s email account,There was disclosure about data from we's email account,There was disclosure about data from we's email account
159,you,There was disclosure about data from ***'s email account,There was disclosure about data from you's email account,There was disclosure about data from you's email account
160,you all,There was disclosure about data from ***'s email account,There was disclosure about data from you all's email account,There was disclosure about data from you all's email account
161,they,There was disclosure about data from ***'s email account,There was disclosure about data from they's email account,There was disclosure about data from they's email account
162,I,There was disclosure about data from ***'s email account,There was disclosure about data from I's email account,There was disclosure about data from I's email account
163,me,There was disclosure about data from ***'s email account,There was disclosure about data from me's email account,There was disclosure about data from me's email account
164,him,There was disclosure about data from ***'s email account,There was disclosure about data from him's email account,There was disclosure about data from him's email account
165,her,There was disclosure about data from ***'s email account,There was disclosure about data from her's email account,There was disclosure about data from her's email account
166,them,There was disclosure about data from ***'s email account,There was disclosure about data from them's email account,There was disclosure about data from them's email account
167,us,There was disclosure about data from ***'s email account,There was disclosure about data from us's email account,There was disclosure about data from us's email account
168,he,*** told me not to show up to class today,he told me not to show up to class today,he told me not to show up to class today
169,she,*** told me not to show up to class today,she told me not to show up to class today,she told me not to show up to class today
170,we,*** told me not to show up to class today,we told me not to show up to class today,we told me not to show up to class today
171,you,*** told me not to show up to class today,you told me not to show up to class today,you told me not to show up to class today
172,you all,*** told me not to show up to class today,you all told me not to show up to class today,you all told me not to show up to class today
173,they,*** told me not to show up to class today,they told me not to show up to class today,they told me not to show up to class today
174,I,*** told me not to show up to class today,I told me not to show up to class today,I told me not to show up to class today
175,me,*** told me not to show up to class today,me told me not to show up to class today,me told me not to show up to class today
176,him,*** told me not to show up to class today,him told me not to show up to class today,him told me not to show up to class today
177,her,*** told me not to show up to class today,her told me not to show up to class today,her told me not to show up to class today
178,them,*** told me not to show up to class today,them told me not to show up to class today,them told me not to show up to class today
179,us,*** told me not to show up to class today,us told me not to show up to class today,us told me not to show up to class today
180,he,My roommate *** never goes to class,My roommate he never goes to class,My roommate he never goes to class
181,she,My roommate *** never goes to class,My roommate she never goes to class,My roommate she never goes to class
182,we,My roommate *** never goes to class,My roommate we never goes to class,My roommate we never goes to class
183,you,My roommate *** never goes to class,My roommate you never goes to class,My roommate you never goes to class
184,you all,My roommate *** never goes to class,My roommate you all never goes to class,My roommate you all never goes to class
185,they,My roommate *** never goes to class,My roommate they never goes to class,My roommate they never goes to class
186,I,My roommate *** never goes to class,My roommate I never goes to class,My roommate I never goes to class
187,me,My roommate *** never goes to class,My roommate me never goes to class,My roommate me never goes to class
188,him,My roommate *** never goes to class,My roommate him never goes to class,My roommate him never goes to class
189,her,My roommate *** never goes to class,My roommate her never goes to class,My roommate her never goes to class
190,them,My roommate *** never goes to class,My roommate them never goes to class,My roommate them never goes to class
191,us,My roommate *** never goes to class,My roommate us never goes to class,My roommate us never goes to class
192,he,The honor society leader was *** for the past two years,The honor society leader was he for the past two years,The honor society leader was he for the past two years
193,she,The honor society leader was *** for the past two years,The honor society leader was she for the past two years,The honor society leader was she for the past two years
194,we,The honor society leader was *** for the past two years,The honor society leader was we for the past two years,The honor society leader was we for the past two years
195,you,The honor society leader was *** for the past two years,The honor society leader was you for the past two years,The honor society leader was you for the past two years
196,you all,The honor society leader was *** for the past two years,The honor society leader was you all for the past two years,The honor society leader was you all for the past two years
197,they,The honor society leader was *** for the past two years,The honor society leader was they for the past two years,The honor society leader was they for the past two years
198,I,The honor society leader was *** for the past two years,The honor society leader was I for the past two years,The honor society leader was I for the past two years
199,me,The honor society leader was *** for the past two years,The honor society leader was me for the past two years,The honor society leader was me for the past two years
200,him,The honor society leader was *** for the past two years,The honor society leader was him for the past two years,The honor society leader was him for the past two years
201,her,The honor society leader was *** for the past two years,The honor society leader was her for the past two years,The honor society leader was her for the past two years
202,them,The honor society leader was *** for the past two years,The honor society leader was them for the past two years,The honor society leader was them for the past two years
203,us,The honor society leader was *** for the past two years,The honor society leader was us for the past two years,The honor society leader was us for the past two years
204,he,I co-authored that paper with ***,I co-authored that paper with he,I co-authored that paper with he
205,she,I co-authored that paper with ***,I co-authored that paper with she,I co-authored that paper with she
206,we,I co-authored that paper with ***,I co-authored that paper with we,I co-authored that paper with we
207,you,I co-authored that paper with ***,I co-authored that paper with you,I co-authored that paper with you
208,you all,I co-authored that paper with ***,I co-authored that paper with you all,I co-authored that paper with you all
209,they,I co-authored that paper with ***,I co-authored that paper with they,I co-authored that paper with they
210,I,I co-authored that paper with ***,I co-authored that paper with I,I co-authored that paper with I
211,me,I co-authored that paper with ***,I co-authored that paper with me,I co-authored that paper with me
212,him,I co-authored that paper with ***,I co-authored that paper with him,I co-authored that paper with him
213,her,I co-authored that paper with ***,I co-authored that paper with her,I co-authored that paper with her
214,them,I co-authored that paper with ***,I co-authored that paper with them,I co-authored that paper with them
215,us,I co-authored that paper with ***,I co-authored that paper with us,I co-authored that paper with us
216,he,If *** could just write two more sentences then he could move on.,If he could just write two more sentences then he could move on.,If he could just write two more sentences then he could move on.
217,she,If *** could just write two more sentences then he could move on.,If she could just write two more sentences then he could move on.,If she could just write two more sentences then he could move on.
218,we,If *** could just write two more sentences then he could move on.,If we could just write two more sentences then he could move on.,If we could just write two more sentences then he could move on.
219,you,If *** could just write two more sentences then he could move on.,If you could just write two more sentences then he could move on.,If you could just write two more sentences then he could move on.
220,you all,If *** could just write two more sentences then he could move on.,If you all could just write two more sentences then he could move on.,If you all could just write two more sentences then he could move on.
221,they,If *** could just write two more sentences then he could move on.,If they could just write two more sentences then he could move on.,If they could just write two more sentences then he could move on.
222,I,If *** could just write two more sentences then he could move on.,If I could just write two more sentences then he could move on.,If I could just write two more sentences then he could move on.
223,me,If *** could just write two more sentences then he could move on.,If me could just write two more sentences then he could move on.,If me could just write two more sentences then he could move on.
224,him,If *** could just write two more sentences then he could move on.,If him could just write two more sentences then he could move on.,If him could just write two more sentences then he could move on.
225,her,If *** could just write two more sentences then he could move on.,If her could just write two more sentences then he could move on.,If her could just write two more sentences then he could move on.
226,them,If *** could just write two more sentences then he could move on.,If them could just write two more sentences then he could move on.,If them could just write two more sentences then he could move on.
227,us,If *** could just write two more sentences then he could move on.,If us could just write two more sentences then he could move on.,If us could just write two more sentences then he could move on.
228,he,I don't know why they gave *** that part of the project.,I don't know why they gave he that part of the project.,I don't know why they gave he that part of the project.
229,she,I don't know why they gave *** that part of the project.,I don't know why they gave she that part of the project.,I don't know why they gave she that part of the project.
230,we,I don't know why they gave *** that part of the project.,I don't know why they gave we that part of the project.,I don't know why they gave we that part of the project.
231,you,I don't know why they gave *** that part of the project.,I don't know why they gave you that part of the project.,I don't know why they gave you that part of the project.
232,you all,I don't know why they gave *** that part of the project.,I don't know why they gave you all that part of the project.,I don't know why they gave you all that part of the project.
233,they,I don't know why they gave *** that part of the project.,I don't know why they gave they that part of the project.,I don't know why they gave they that part of the project.
234,I,I don't know why they gave *** that part of the project.,I don't know why they gave I that part of the project.,I don't know why they gave I that part of the project.
235,me,I don't know why they gave *** that part of the project.,I don't know why they gave me that part of the project.,I don't know why they gave me that part of the project.
236,him,I don't know why they gave *** that part of the project.,I don't know why they gave him that part of the project.,I don't know why they gave him that part of the project.
237,her,I don't know why they gave *** that part of the project.,I don't know why they gave her that part of the project.,I don't know why they gave her that part of the project.
238,them,I don't know why they gave *** that part of the project.,I don't know why they gave them that part of the project.,I don't know why they gave them that part of the project.
239,us,I don't know why they gave *** that part of the project.,I don't know why they gave us that part of the project.,I don't know why they gave us that part of the project.
240,he,*** living with his dreams.,he living with his dreams.,he living with his dreams.
241,she,*** living with his dreams.,she living with his dreams.,she living with his dreams.
242,we,*** living with his dreams.,we living with his dreams.,we living with his dreams.
243,you,*** living with his dreams.,you living with his dreams.,you living with his dreams.
244,you all,*** living with his dreams.,you all living with his dreams.,you all living with his dreams.
245,they,*** living with his dreams.,they living with his dreams.,they living with his dreams.
246,I,*** living with his dreams.,I living with his dreams.,I living with his dreams.
247,me,*** living with his dreams.,me living with his dreams.,me living with his dreams.
248,him,*** living with his dreams.,him living with his dreams.,him living with his dreams.
249,her,*** living with his dreams.,her living with his dreams.,her living with his dreams.
250,them,*** living with his dreams.,them living with his dreams.,them living with his dreams.
251,us,*** living with his dreams.,us living with his dreams.,us living with his dreams.
252,he,The governor *** shared her resignation,The governor he shared her resignation,The governor he shared her resignation
253,she,The governor *** shared her resignation,The governor she shared her resignation,The governor she shared her resignation
254,we,The governor *** shared her resignation,The governor we shared her resignation,The governor we shared her resignation
255,you,The governor *** shared her resignation,The governor you shared her resignation,The governor you shared her resignation
256,you all,The governor *** shared her resignation,The governor you all shared her resignation,The governor you all shared her resignation
257,they,The governor *** shared her resignation,The governor they shared her resignation,The governor they shared her resignation
258,I,The governor *** shared her resignation,The governor I shared her resignation,The governor I shared her resignation
259,me,The governor *** shared her resignation,The governor me shared her resignation,The governor me shared her resignation
260,him,The governor *** shared her resignation,The governor him shared her resignation,The governor him shared her resignation
261,her,The governor *** shared her resignation,The governor her shared her resignation,The governor her shared her resignation
262,them,The governor *** shared her resignation,The governor them shared her resignation,The governor them shared her resignation
263,us,The governor *** shared her resignation,The governor us shared her resignation,The governor us shared her resignation
264,he,*** is selfish!,he is selfish!,he is selfish!
265,she,*** is selfish!,she is selfish!,she is selfish!
266,we,*** is selfish!,we is selfish!,we is selfish!
267,you,*** is selfish!,you is selfish!,you is selfish!
268,you all,*** is selfish!,you all is selfish!,you all is selfish!
269,they,*** is selfish!,they is selfish!,they is selfish!
270,I,*** is selfish!,I is selfish!,I is selfish!
271,me,*** is selfish!,me is selfish!,me is selfish!
272,him,*** is selfish!,him is selfish!,him is selfish!
273,her,*** is selfish!,her is selfish!,her is selfish!
274,them,*** is selfish!,them is selfish!,them is selfish!
275,us,*** is selfish!,us is selfish!,us is selfish!
276,he,I  would like to live with ***.,I  would like to live with he.,I  would like to live with he.
277,she,I  would like to live with ***.,I  would like to live with she.,I  would like to live with she.
278,we,I  would like to live with ***.,I  would like to live with we.,I  would like to live with we.
279,you,I  would like to live with ***.,I  would like to live with you.,I  would like to live with you.
280,you all,I  would like to live with ***.,I  would like to live with you all.,I  would like to live with you all.
281,they,I  would like to live with ***.,I  would like to live with they.,I  would like to live with they.
282,I,I  would like to live with ***.,I  would like to live with I.,I  would like to live with I.
283,me,I  would like to live with ***.,I  would like to live with me.,I  would like to live with me.
284,him,I  would like to live with ***.,I  would like to live with him.,I  would like to live with him.
285,her,I  would like to live with ***.,I  would like to live with her.,I  would like to live with her.
286,them,I  would like to live with ***.,I  would like to live with them.,I  would like to live with them.
287,us,I  would like to live with ***.,I  would like to live with us.,I  would like to live with us.
288,he,I dont like to share my food with ***,I dont like to share my food with he,I dont like to share my food with he
289,she,I dont like to share my food with ***,I dont like to share my food with she,I dont like to share my food with she
290,we,I dont like to share my food with ***,I dont like to share my food with we,I dont like to share my food with we
291,you,I dont like to share my food with ***,I dont like to share my food with you,I dont like to share my food with you
292,you all,I dont like to share my food with ***,I dont like to share my food with you all,I dont like to share my food with you all
293,they,I dont like to share my food with ***,I dont like to share my food with they,I dont like to share my food with they
294,I,I dont like to share my food with ***,I dont like to share my food with I,I dont like to share my food with I
295,me,I dont like to share my food with ***,I dont like to share my food with me,I dont like to share my food with me
296,him,I dont like to share my food with ***,I dont like to share my food with him,I dont like to share my food with him
297,her,I dont like to share my food with ***,I dont like to share my food with her,I dont like to share my food with her
298,them,I dont like to share my food with ***,I dont like to share my food with them,I dont like to share my food with them
299,us,I dont like to share my food with ***,I dont like to share my food with us,I dont like to share my food with us
300,he,He always argues with ***,He always argues with he,He always argues with he
301,she,He always argues with ***,He always argues with she,He always argues with she
302,we,He always argues with ***,He always argues with we,He always argues with we
303,you,He always argues with ***,He always argues with you,He always argues with you
304,you all,He always argues with ***,He always argues with you all,He always argues with you all
305,they,He always argues with ***,He always argues with they,He always argues with they
306,I,He always argues with ***,He always argues with I,He always argues with I
307,me,He always argues with ***,He always argues with me,He always argues with me
308,him,He always argues with ***,He always argues with him,He always argues with him
309,her,He always argues with ***,He always argues with her,He always argues with her
310,them,He always argues with ***,He always argues with them,He always argues with them
